epoch,train_loss,val_loss,train_acc,val_acc,val_f1,lr,time_s
1,,,0.12047422274695002,0.17653810835629016,0.03751219512195122,0.0002009433962264151,336.71466970443726
2,,,0.12603305785123967,0.17653810835629016,0.03751219512195122,0.00040094339622641514,314.976598739624
3,,,0.12391774891774891,0.17653810835629016,0.03751219512195122,0.0006009433962264151,314.43434953689575
4,,,0.11993309720582448,0.17653810835629016,0.03751219512195122,0.0008009433962264151,314.10614800453186
5,,,0.12431129476584023,0.17653810835629016,0.03751219512195122,0.001,314.19095826148987
6,,,0.12204840613345094,0.17653810835629016,0.03751219512195122,0.000999726628670463,315.08640933036804
7,,,0.125787091643404,0.17653810835629016,0.03751219512195122,0.0009989068136093873,314.8657331466675
8,,,0.12416371502002738,0.17653810835629016,0.03751219512195122,0.0009975414512725057,314.88342690467834
9,,,0.13055883506323962,0.17653810835629016,0.03751219512195122,0.0009956320346634876,314.753618478775
10,,,0.1236225894319875,0.17653810835629016,0.03751219512195122,0.0009931806517013613,314.8025505542755
11,,,0.12391774888842746,0.17653810835629016,0.03751219512195122,0.0009901899829374047,314.82289266586304
12,,,0.12357339626548329,0.17653810835629016,0.03751219512195122,0.000986663298624003,314.3062696456909
13,,,0.12559031869590118,0.17653810835629016,0.03751219512195122,0.0009826044551386743,314.8366057872772
14,,,0.12431129470719732,0.17653810835629016,0.03751219512195122,0.0009780178907671788,314.55937695503235
15,,,0.12696772923459224,0.17653810835629016,0.03751219512195122,0.0009729086208503173,314.85458064079285
16,,,0.12426210148791449,0.17653810835629016,0.03751219512195122,0.0009672822322997304,314.9354724884033
17,,,0.12470484056115291,0.17653810835629016,0.03751219512195122,0.0009611448774886924,314.9390366077423
18,,,0.1245572609091687,0.17653810835629016,0.03751219512195122,0.0009545032675245813,314.41118693351746
19,,,0.1271645020882664,0.17653810835629016,0.03751219512195122,0.0009473646649103818,314.53628849983215
20,,,0.12244195196981367,0.17653810835629016,0.03751219512195122,0.0009397368756032445,315.085196018219
21,,,0.12603305781605392,0.17653810835629016,0.03751219512195122,0.000931628240478787,314.665638923645
